level_jurisdiction,year,new_lawsuit,internal_appeal
1,2011,60027,239
1,2012,754155,2623
1,2013,122350,1693
1,2014,50596,537
1,2015,91140,222
1,2016,1005702,2115
1,2017,134404,1212
1,2018,130037,625
1,2019,59370,465
1,2020,1324239,10627
2,2011,21938,2375
2,2012,63615,11536
2,2013,22169,5097
2,2014,58877,9906
2,2015,11804,3202
2,2016,46031,4778
2,2017,27422,3028
2,2018,73156,6338
2,2019,6968,2405
2,2020,42495,5003
3,2011,,2586
3,2012,,3834
3,2013,,2868
3,2014,,3590
3,2015,3526,1864
3,2016,5598,2024
3,2017,3370,1866
3,2018,5618,2230
3,2019,2370,1995
3,2020,4796,5885
